;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C
;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Transient;Transient;Transient;Transient;Transient;Transient;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread
;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1009;1009;1009;1;1;1;10;10;10;1;1;1;10;10;10;1;1;1;10;10;10;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000
;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg
Autofac;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;6;61;70;65;615;687;632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;169;156;1302;1352;1318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;21;23;22;194;218;204;1972;2043;2008;0;0;0;0;0;0;0;0;0;0;0;0
DryIoc;2;3;2;2;3;2;2;2;2;2;2;2;14;15;15;15;16;15;16;18;17;30;31;30;73;81;76;72;78;75;74;79;76;74;83;77;10;11;10;10;13;10;1038;1086;1062;1068;1101;1089;1062;1126;1093;1078;1117;1097;8;9;8;8;9;9;8;9;9;8;9;8;44;46;45;45;46;45;52;55;53;100;104;102;247;260;252;247;257;250;247;271;255;256;272;263
Grace;2;2;2;2;3;2;2;3;2;2;4;3;16;18;16;16;17;16;19;20;19;39;40;40;4;4;4;4;4;4;4;4;4;4;5;4;17;20;18;17;18;18;1480;1553;1507;1511;1586;1551;28;28;28;28;28;28;8;8;8;8;8;8;8;8;8;8;8;8;51;52;51;52;53;52;58;59;58;123;126;124;13;13;13;13;13;13;13;13;13;13;13;13
LightInject;2;2;2;2;2;2;2;2;2;2;2;2;10;10;10;10;10;10;11;12;11;19;19;19;51;52;51;51;52;51;51;52;51;51;52;51;14;14;14;14;14;14;818;839;831;870;878;873;-1;-1;-1;-1;-1;-1;6;7;6;6;7;6;6;6;6;6;7;6;32;32;32;32;33;32;37;39;37;71;72;72;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Ninject;3;3;3;3;3;3;3;3;3;6;6;6;10;11;10;86;90;88;858;951;873;8673;9035;8812;3;3;3;3;3;3;3;3;3;6;6;6;21;21;21;21;22;21;1039;1189;1068;10104;10604;10299;21;21;21;21;21;21;9;9;9;9;9;9;9;10;9;12;13;12;35;42;36;271;297;277;2697;3014;2787;27790;28442;28038;9;9;9;9;9;9;9;10;9;12;12;12
NiquIoCPartial;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;19;19;19;172;174;172;1;1;1;1;1;1;1;1;1;1;1;1;8;9;9;8;9;9;36;37;36;284;304;289;8;9;9;8;9;9;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;10;10;10;57;58;58;522;529;524;4;4;4;4;4;4;4;4;4;4;4;4
