;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;
;Singleton;Singleton;Singleton;Transient;Transient;Transient;PerThread;PerThread;PerThread;Singleton;Singleton;Singleton;Transient;Transient;Transient;PerThread;PerThread;PerThread;Singleton;Singleton;Singleton;Transient;Transient;Transient;PerThread;PerThread;PerThread;
;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;
Autofac;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
DryIoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Grace;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
LightInject;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ninject;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
NiquIoCPartial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
NiquIoCFull;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
SimpleInjector;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
StructureMap;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Unity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Windsor;0;0;0;0;0;0;0;0;0;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;
